# time (s), x coordinate (m), y coordinate (m)
2.088000000000000114e+02,5.756656741429411639e+00,2.198357165474803754e+00
2.124000000000000057e+02,5.690888455601945672e+00,2.214353256366312639e+00
2.160000000000000000e+02,5.629197711061071807e+00,2.231214690276882351e+00
2.195999999999999943e+02,5.571701073076757105e+00,2.249075444584760053e+00
2.232000000000000171e+02,5.518504841516932657e+00,2.268069462339790121e+00
2.268000000000000114e+02,5.469704558131366134e+00,2.288330145240074387e+00
2.304000000000000057e+02,5.425384548325662415e+00,2.309989836279376707e+00
2.340000000000000000e+02,5.385617499809449704e+00,2.333179294261595427e+00
2.375999999999999943e+02,5.350464080357150820e+00,2.358027162464395587e+00
2.412000000000000171e+02,5.319972596761979311e+00,2.384659433809406703e+00
2.448000000000000114e+02,5.294178696895331271e+00,2.413198914960964281e+00
2.484000000000000057e+02,5.273105116604687836e+00,2.443764691828500091e+00
2.520000000000000000e+02,5.256761472994683437e+00,2.476471598989034906e+00
2.555999999999999943e+02,5.245144105439007554e+00,2.511429695575472909e+00
2.591999999999999886e+02,5.238235965465830368e+00,2.548743750193023239e+00
2.628000000000000114e+02,5.236006556447906135e+00,2.588512737430032740e+00
2.664000000000000341e+02,5.238411923811050919e+00,2.630829348520531408e+00
2.700000000000000000e+02,5.245394696252471789e+00,2.675779518693651493e+00
2.736000000000000227e+02,5.256884178234470184e+00,2.723441973709868957e+00
2.771999999999999886e+02,5.272796493790331773e+00,2.773887798035601815e+00
2.808000000000000114e+02,5.293034781449146742e+00,2.827180027046301447e+00
2.844000000000000341e+02,5.317489439855344280e+00,2.883373265573672128e+00
2.880000000000000000e+02,5.346038423428907116e+00,2.942513335025679577e+00
2.916000000000000227e+02,5.378547587183510892e+00,3.004636951208267348e+00
2.951999999999999886e+02,5.414871079594560932e+00,3.069771434866150894e+00
2.988000000000000114e+02,5.454851782187259523e+00,3.137934456836585451e+00
3.024000000000000341e+02,5.498321794298242970e+00,3.209133819575397339e+00
3.060000000000000000e+02,5.545102961253668639e+00,3.283367276669210355e+00
3.096000000000000227e+02,5.595007444003178065e+00,3.360622391792396080e+00
3.131999999999999886e+02,5.647838328053640389e+00,3.440876438402352910e+00
3.168000000000000114e+02,5.703390269360244957e+00,3.524096341293049051e+00
3.204000000000000341e+02,5.761450174656056689e+00,3.610238660945149114e+00
3.240000000000000000e+02,5.821797913535674773e+00,3.699249621422231460e+00
3.276000000000000227e+02,5.884207059454692690e+00,3.791065182367360009e+00
3.311999999999999886e+02,5.948445656665352743e+00,3.885611155453778665e+00
3.348000000000000114e+02,6.014277009980608213e+00,3.982803365438303267e+00
3.384000000000000341e+02,6.081460494144436346e+00,4.082547855757364452e+00
3.420000000000000000e+02,6.149752379486379539e+00,4.184741138394395321e+00
3.456000000000000227e+02,6.218906670453520746e+00,4.289270487534583509e+00
3.491999999999999886e+02,6.288675953543441999e+00,4.396014276309623270e+00
3.528000000000000114e+02,6.358812251108277636e+00,4.504842355722442626e+00
3.564000000000000341e+02,6.429067877462349756e+00,4.615616474630718002e+00
3.600000000000000000e+02,6.499196293704814664e+00,4.728190739459484426e+00
3.636000000000000227e+02,6.568952957664074610e+00,4.842412112108328337e+00
3.671999999999999886e+02,6.638096165382754599e+00,4.958120944318652690e+00
3.708000000000000114e+02,6.706387880590499506e+00,5.075151546572189254e+00
3.744000000000000341e+02,6.773594548657083436e+00,5.193332789404507821e+00
3.780000000000000000e+02,6.839487891579556056e+00,5.312488734837567783e+00
3.816000000000000227e+02,6.903845680634762338e+00,5.432439295464475570e+00
3.851999999999999886e+02,6.966452483421921471e+00,5.553000918558462118e+00
3.888000000000000114e+02,7.027100382128381284e+00,5.673987292427279172e+00
3.924000000000000341e+02,7.085589659975520149e+00,5.795210072095269282e+00
3.960000000000000000e+02,7.141729452939507006e+00,5.916479621268263323e+00
3.996000000000000227e+02,7.195338363993339925e+00,6.037605767422544290e+00
4.031999999999999886e+02,7.246245037281354051e+00,6.158398566758848780e+00
4.068000000000000114e+02,7.294288689814401039e+00,6.278669075676518219e+00
4.104000000000000341e+02,7.339319598462402894e+00,6.398230125351727970e+00
4.140000000000000000e+02,7.381199540220205080e+00,6.516897095948176677e+00
4.176000000000000227e+02,7.419802183931511586e+00,6.634488686948841085e+00
4.211999999999999886e+02,7.455013431873290131e+00,6.750827680073678394e+00
4.248000000000000114e+02,7.486731709828394976e+00,6.865741691241121103e+00
4.284000000000000341e+02,7.514868204506135463e+00,6.979063908040703978e+00
4.320000000000000000e+02,7.539347047408264224e+00,7.090633809210683758e+00
4.356000000000000227e+02,7.560105444479698455e+00,7.200297862657524917e+00
4.391999999999999886e+02,7.577093751128945343e+00,7.307910198614504971e+00
4.428000000000000114e+02,7.590275492450569317e+00,7.413333254613275969e+00
4.464000000000000341e+02,7.599627328730793607e+00,7.516438389035748457e+00
4.500000000000000000e+02,7.605138966565523795e+00,7.617106460123167722e+00
4.536000000000000227e+02,7.606813016167321528e+00,7.715228367444849411e+00
4.571999999999999886e+02,7.604664795682109180e+00,7.810705552969921861e+00
4.608000000000000114e+02,7.598722083577393427e+00,7.903450459041465592e+00
4.644000000000000341e+02,7.589024820399534299e+00,7.993386940722603029e+00
4.680000000000000000e+02,7.575624761427643961e+00,8.080450630168181547e+00
4.716000000000000227e+02,7.558585081974408482e+00,8.164589250872428039e+00
4.751999999999999886e+02,7.537979937298999289e+00,8.245762879852296834e+00
4.788000000000000114e+02,7.513893979302486592e+00,8.323944156046261256e+00
4.824000000000000341e+02,7.486421832371668472e+00,8.399118433439213049e+00
4.860000000000000000e+02,7.455667530921224362e+00,8.471283877664005146e+00
4.896000000000000227e+02,7.421743921356434015e+00,8.540451505078644701e+00
4.931999999999999886e+02,7.384772031337741183e+00,8.606645163573499957e+00
4.968000000000000114e+02,7.344880409374339614e+00,8.669901454624637793e+00
5.004000000000000341e+02,7.302204437905090550e+00,8.730269596375887176e+00
5.040000000000000000e+02,7.256885623141539732e+00,8.787811227802345471e+00
5.076000000000000227e+02,7.209070865048404109e+00,8.842600154280718883e+00
5.111999999999999886e+02,7.158911710921845639e+00,8.894722035165765206e+00
5.148000000000000682e+02,7.106563596093941726e+00,8.944274014245754856e+00
5.183999999999999773e+02,7.052185075343222032e+00,8.991364294222268683e+00
5.220000000000000000e+02,6.995937048625626709e+00,9.036111656629369548e+00
5.256000000000000227e+02,6.937981984757232823e+00,9.078644928872819264e+00
5.292000000000000455e+02,6.878483146680028248e+00,9.119102400330664437e+00
